flow_count,orig_bytes_sum,resp_bytes_sum,avg_duration,label
20,275,24,9.275e-05,0
20,944,12,6.295e-05,0
20,186,42,0.01259875,0
20,20990,844,0.0890422,0
20,11366,14832,17.34186615,0
20,14064,707500,0.18819635,0
20,26062,1955635,0.17394465,0
20,26200,2174339,0.1525879,0
20,25169,2038575,0.15574539999999998,0
20,23568,1938540,0.15071705000000002,0
20,25217,2132723,0.15947435000000001,0
20,23310,1741640,0.14124585,0
20,23742,1924004,0.13334849999999998,0
20,24253,1886412,0.14792029999999998,0
20,25109,2066059,0.1564969,0
20,24785,1818409,0.14421265000000003,0
20,20098,1566499,0.11631585,0
20,26140,2047400,0.15269235,0
20,25181,1999437,0.15011124999999997,0
20,6695,419210,0.17415375,0
20,3869,10207,5.8504965,0
20,1712,3432,0.00451585,0
20,309,493,2.12880005,0
20,18694,21214,21.3773733,0
20,8063,19906,16.309875100000003,0
20,1034,2755,3.2259117999999996,0
20,1244,2792,5.307144,0
20,1285,3137,6.437054399999999,0
20,1300,2951,14.705052500000003,0
20,1117,2778,3.4735854499999994,0
20,1135,2593,4.70966995,0
20,1099,2605,4.797277900000001,0
20,1389,3218,13.690294100000003,0
20,1214,3374,12.982040699999999,0
20,1237,2794,10.931798650000001,0
20,4566,14910,12.425396499999998,0
20,36194,3708832,44.97726200000001,0
20,37129,164680,72.74016954999999,0
20,25261,353449,41.18115815,0
20,37255,27829,14.565771200000004,0
20,14207,34813,17.41070965,0
20,52103,66133,58.97813075000003,0
20,2292,3942,0.038469800000000005,0
20,1800,4226,0.0251936,0
20,2176,5138,0.039684250000000004,0
20,1882,4164,0.0231897,0
20,2168,5118,0.035578149999999996,0
20,2052,5632,0.027702000000000004,0
20,2244,4932,0.37966295000000005,0
20,2308,4434,0.03385699999999999,0
20,2348,5522,1.0685208,0
20,2534,5726,0.047394549999999994,0
20,2676,4022,0.03989500000000001,0
20,2200,4430,0.046632200000000006,0
20,2384,5592,0.640412,0
20,2292,6498,0.02609935,0
20,1810,4692,0.018647399999999998,0
20,2150,4964,0.02966645,0
20,2176,4944,0.057601599999999996,0
20,2674,7086,0.429056,0
20,2210,4922,0.03606859999999999,0
20,1898,4786,0.020447,0
20,2178,4194,0.5401394,0
20,2160,3632,0.039479299999999995,0
20,14571,114400,6.8751829,0
20,15116,70103,14.6317205,0
20,10927,50804,21.27887055,0
20,12789,42473,33.265172,0
20,17928,79961,53.763195100000004,0
20,20841,64174,28.062435899999997,0
20,10736,122738,10.8813686,0
20,65411,271838,59.53775855,0
20,26695,102733,35.0607822,0
20,16225,203559,12.914806149999999,0
20,15334,52085,35.6680571,0
20,11632,81877,4.1357877,0
20,8611,54716,1.9411559,0
20,8722,84672,17.276711900000002,0
20,3170,5631,29.8489323,0
20,8915,552700,28.016022000000003,0
20,909657,2130,0.05925984999999999,0
20,381156,924,0.05437125,0
20,354,90,6.519999999999999e-05,0
20,294,70,0.07059164999999999,0
20,157,60,0.000286,0
20,297,24,0.06965534999999999,0
20,187,66,0.05342189999999999,0
20,672,84,0.00856895,0
20,576,18,0.0007715999999999999,0
20,21987,54,0.015584049999999999,0
20,126,42,0.018072200000000004,0
20,4681,109170,9.724156949999998,0
20,90583,355520,46.445305049999995,0
20,57857,64453,23.9786587,0
20,21179,347289,45.4376838,0
20,2328,4386,0.8869928,0
20,2064,3748,0.12341760000000002,0
20,2404,4004,0.08604395000000001,0
20,1902,3020,0.0166042,0
20,2472,4204,0.04883049999999999,0
20,2416,4676,0.034783549999999996,0
20,2136,5366,0.0268746,0
20,2072,5380,0.033380950000000006,0
20,2036,4944,0.02814585,0
20,17405,1175314,5.3900856500000005,0
20,11684,419186,13.893896000000002,0
20,11981,51934,26.835904000000006,0
20,4051,30629,8.183321150000001,0
20,8373,85202,15.216083750000001,0
20,41388,227242,31.785746699999997,0
20,26768,95762,31.06178535,0
20,13833,48117,21.6074458,0
20,10304,65862,40.82184685,0
20,33336,179403,81.82514319999999,0
20,24994,97321,70.66038895,0
20,49225,74626,22.600236099999996,0
20,5039,11023,6.27008445,0
20,1576,4724,0.03760305,0
20,1582,4038,0.021999150000000002,0
20,1562,3874,0.008559500000000001,0
20,1456,4862,0.023191,0
